gene_id	PBMC-NK-1	PBMC-NK-2	PBMC-gdT-1	PBMC-gdT-2	SRR13381427	SRR13381428	SRR13381429	SRR13381430	SRR13381431	SRR13381432	SRR13381435	SRR13381436	SRR13381438	Number5	Number6	Number9	Number13	Number16	Number17	Number20
ENSG00000211777	0	0	0	3	0	0	1	0	0	0	332	252	334	0	1	0	0	0	0	0
ENSG00000211778	1	0	0	0	0	0	2	2	1	0	402	551	395	0	0	0	0	0	0	0
ENSG00000211779	0	0	0	0	0	0	2	0	1	0	148	261	157	0	0	0	0	0	0	0
ENSG00000240954	0	1	0	1	1	2	0	3	1	1	23	35	79	1	0	0	1	2	2	2
ENSG00000211780	0	0	0	0	0	0	2	0	0	0	84	96	89	0	0	0	0	0	0	0
ENSG00000211781	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
ENSG00000211782	0	0	0	1	1	0	0	0	0	0	228	114	242	0	0	0	0	0	0	0
ENSG00000211783	0	0	2	2	0	0	0	0	0	0	2	0	0	0	0	3	4	0	0	0
ENSG00000211784	0	0	0	0	7	0	4	1	0	2	121	92	172	0	0	0	0	0	0	0
ENSG00000256474	0	1	0	2	0	0	0	0	0	0	2	2	0	0	0	3	0	0	0	0
ENSG00000211785	0	0	0	2	1	0	2	1	0	1	188	170	312	0	0	0	0	0	0	0
ENSG00000211786	0	0	0	0	0	0	0	0	0	0	325	252	351	0	0	0	0	0	0	0
ENSG00000211787	0	0	0	0	0	0	0	0	0	3	89	77	133	0	0	0	0	0	0	0
ENSG00000211788	0	0	0	0	0	1	5	1	1	1	546	613	533	0	0	0	0	0	0	0
ENSG00000211789	0	0	0	7	0	0	2	0	8	3	774	677	740	0	0	1	0	0	0	7
ENSG00000211790	0	0	0	0	0	0	0	0	1	0	125	75	141	0	0	0	0	0	0	0
ENSG00000256379	1	0	3	0	0	0	0	1	1	5	6	11	14	0	0	0	2	0	0	0
ENSG00000211791	1	2	0	1	2	0	3	1	4	5	262	220	255	2	0	0	0	0	0	2
ENSG00000211792	1	2	11	10	3	0	8	0	2	5	421	354	665	0	1	2	19	0	3	0
ENSG00000211793	0	0	0	0	16	0	0	3	0	0	163	190	199	1	5	0	3	0	0	0
ENSG00000258482	0	0	0	6	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0
ENSG00000258557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211794	0	0	0	0	1	0	3	5	0	0	274	186	291	0	0	0	0	0	0	1
ENSG00000211795	0	0	0	0	0	3	1	1	1	2	227	317	280	0	0	0	0	0	0	0
ENSG00000211796	0	0	3	1	0	8	0	1	0	0	85	84	78	0	0	2	0	0	0	0
ENSG00000211797	0	0	1	12	0	9	10	1	1	5	372	287	340	0	0	4	0	0	0	0
ENSG00000211798	0	0	2	11	7	20	5	14	5	2	27	30	39	0	0	4	4	2	0	0
ENSG00000211799	0	0	6	8	0	281	3	8	7	3	525	261	649	0	0	21	9	19	6	0
ENSG00000258705	0	0	0	0	0	0	2	3	0	0	0	2	1	0	3	8	0	0	2	0
ENSG00000211800	0	0	0	4	0	0	1	0	0	0	140	107	250	0	0	0	0	0	0	0
ENSG00000211801	0	0	0	14	0	1	5	1	0	0	296	360	405	0	0	1	0	0	0	8
